name,short_name,doi,url,date,project,theme,teams,image_url,downloads
PASTIS-R - Panoptic Segmentation of Radar and Optical Satellite image TIme Series,PASTIS-R,10.5281/zenodo.5735645,https://zenodo.org/records/5735646,2021,,Agriculture,STRUDEL,https://github.com/VSainteuf/pastis-benchmark/blob/main/images/pastisr.png?raw=true,31012
"Georeferencing the ""Atlas du plan général de la ville de Paris par Edme Verniquet""",Georeferencing Verniquet,10.7910/DVN/ZKRJFA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZKRJFA,2023,SoDUCo,DigitalHumanities,STRUDEL,https://dataverse.harvard.edu/api/datasets/7002454/logo,13719
"A GIS reconstruction of the Cassini ""Carte de France"" sheet No. 52","Cassini ""Carte de France"" sheet No. 52",10.7910/DVN/XP8J6P,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XP8J6P,2019,SoDUCo,DigitalHumanities,STRUDEL,https://dataverse.harvard.edu/api/datasets/3454652/logo,6575
PASTIS - Panoptic Segmentation of Satellite image TIme Series,PASTIS,10.5281/zenodo.5012941,https://zenodo.org/records/5012942,2021,,Agriculture,STRUDEL,https://github.com/Vsainteuf/pastis-benchmark/blob/main/images/predictions.png?raw=true,23598
The 18th century Cassini roads and cities dataset,Cassini roads and cities dataset,10.7910/DVN/28674,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28674,2015,SoDUCo,DigitalHumanities,STRUDEL,https://media.springernature.com/full/springer-static/image/art%3A10.1038%2Fsdata.2015.48/MediaObjects/41597_2015_Article_BFsdata201548_Fig2_HTML.jpg,2929
L'Alpe d'Huez: a dataset to benchmark topographic map generalisation,L'Alpe d'Huez,10.5281/zenodo.5749324,https://zenodo.org/records/5749324,2021,LostInZoom,Tourism,MEIG,,4149
PASTIS-R PixelSet - Radar and Optical Satellite Image Time Series in Pixel-Set format,PASTIS-R PixelSet,10.5281/zenodo.5745150,https://zenodo.org/records/5745151,2021,,Agriculture,STRUDEL,https://github.com/VSainteuf/pastis-benchmark/blob/main/images/pastisr.png?raw=true,4221
Parcel Manager Data set,Parcel Manager Data set,10.17632/zscjbdvr9v,https://data.mendeley.com/datasets/zscjbdvr9v,2022,ParcelManager,Planning,STRUDEL,https://framagit.org/artiscales/parcelmanager/-/raw/master/misc/schema.png,495
"""Verniquet map"" and ""Jacoubet Atlas"" Paris street networks",Verniquet & Jacoubet Paris street networks,10.7910/DVN/CCESX4,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CCESX4,2019,SoDUCo,DigitalHumanities,STRUDEL,,371
ICDAR 2021 Competition on Historical Map Segmentation — Dataset,ICDAR 2021 Competition Dataset,10.5281/zenodo.4817662,https://zenodo.org/records/4817662,2021,SoDUCo,DigitalHumanities,STRUDEL,,360
A Dataset of French Trade Directories from the 19th Century (FTD),FTD,10.5281/zenodo.6394464,https://zenodo.org/records/6394464,2022,SoDUCo,DigitalHumanities,STRUDEL,,294
ModelNet10 - Scans,ModelNet10 - Scans,10.5281/zenodo.5940164,https://zenodo.org/records/5940164,2022,BIOM,Urban,"ACTE,STRUDEL",,756
"Dataset for ICDAR 21 paper ""Vectorization of Historical Maps Using Deep Edge Filtering and Closed Shape Extraction""",ICDAR 21 paper dataset,10.5281/zenodo.8325475,https://zenodo.org/records/10567765,2021,SoDUCo,DigitalHumanities,STRUDEL,,368
ModelNet10 - Watertight,ModelNet10 - Watertight,10.5281/zenodo.5920479,https://zenodo.org/records/5920479,2022,BIOM,Urban,"ACTE,STRUDEL",,254
ICDAR 2021 Competition on Historical Map Segmentation — Submissions from participants,ICDAR 2021 Competition Submissions from participants,10.5281/zenodo.4818227,https://zenodo.org/records/4818228,2021,SoDUCo,DigitalHumanities,STRUDEL,,114
FogDetector survey raw data,FogDetector survey raw data,10.5281/zenodo.7561925,https://zenodo.org/records/7561925,2023,LostInZoom,Tourism,MEIG,,63
AlpineBends – A Benchmark for Deep Learning-Based Generalisation,AlpineBends ,10.5281/zenodo.5257686,https://zenodo.org/records/5257686,2021,LostInZoom,Tourism,MEIG,,35
"NER models from ""A Benchmark of Named Entity Recognition Approaches in Historical Documents Application to 19th Century French Directories"", DAS22 workshop on document analysis systems.",DAS22 NER models,10.5281/zenodo.6576008,https://zenodo.org/records/6576008,2022,SoDUCo,DigitalHumanities,STRUDEL,,113
A Dataset of French Trade Directories from the 19th Century for Nested NER task,FTD Nested NER task,10.5281/zenodo.7864174,https://zenodo.org/records/8167628,2023,SoDUCo,DigitalHumanities,STRUDEL,,77
Multi-Landcover translation network (MLCT-Net),MLCT-Net,10.5281/zenodo.7019838,https://zenodo.org/records/7019838,2022,MAESTRIA,LULC,STRUDEL,,16
Données Stéréopolis - Projet I-site URBAN VISION,Données Stéréopolis,10.57745/BOK4I4,https://entrepot.recherche.data.gouv.fr/file.xhtml?persistentId=doi:10.57745/BOK4I4,2023,URBAN VISION,Urban,ACTE,,7
ATLANTIS Ontology,ATLANTIS Ontology,10.5281/zenodo.10568807,https://zenodo.org/records/10568807,2022,ATLANTIS,Security,STRUDEL,,10
ATLANTIS Dataset,ATLANTIS Dataset,10.5281/zenodo.10568800,https://zenodo.org/records/10568801,2023,ATLANTIS,Security,STRUDEL,,19
"Panoptic Agricultural Satellite TIme Series : optical time series, radar time series and very high resolution image ",PASTIS-HD ,,https://huggingface.co/datasets/IGNF/PASTIS-HD,2024,,Agriculture,STRUDEL,https://cdn-uploads.huggingface.co/production/uploads/6582b7dd75754a803e484487/sxmnCAGs0p2u_PALLsqyN.jpeg,201070
TreeSatAI-Time-Series ,TreeSatAI-Time-Series ,,https://huggingface.co/datasets/IGNF/TreeSatAI-Time-Series,2024,,LULC,STRUDEL,,22734
FLAIR land-cover semantic segmentation ,FLAIR,,https://huggingface.co/datasets/IGNF/FLAIR-1-2,2023,,LULC,STRUDEL,https://github.com/IGNF/FLAIR-2/raw/main/images/flair-2-patches.png,17404
Description and quality metadata files for four spatial landmark datasets,CHOUCAS metadata of the spatial landmark datasets,10.5281/zenodo.6494267,https://zenodo.org/records/6636472,2022,Choucas,Security,MEIG,,89
Alignment between type of landmark in different sources and the concept in the spatial reference objects ontology,CHOUCAS alignment,10.5281/zenodo.6481338,https://zenodo.org/records/6542896,2022,Choucas,Security,MEIG,,405
Five spatial landmark datasets,CHOUCAS landmark datasets,10.5281/zenodo.6480985,https://zenodo.org/records/6514812,2022,Choucas,Security,MEIG,,813
Matching results between landmark in different sources and landmark in a referenced dataset (BDTOPO),CHOUCAS matching results,10.5281/zenodo.6483784,https://zenodo.org/records/6518363,2022,Choucas,Security,MEIG,,390
Multiple Land-use / Land-cover Dataset (MLULC),MLULC,10.5281/zenodo.5843594,https://zenodo.org/records/5843595,2022,MAESTRIA,LULC,STRUDEL,,784
"The global long-term satellite radar backscatter dataset created by merging ERS, QSCAT, and ASCAT. (Cscat)",Cscat,10.6084/m9.figshare.20407857.v5,https://figshare.com/articles/dataset/CScat/20407857,2022,,Climate,ACTE,,1049
Vegetation Stratum Occupancy Prediction from Airborne LiDAR 3D Point Clouds,Vegetation Stratum,10.5281/zenodo.5555757,https://zenodo.org/records/5555758,2021,TOSCA FRISBEE,Agriculture,STRUDEL,,84
CHOUCAS Landmarks ontology,CHOUCAS  Landmarks ontology,10.5281/zenodo.6643645,https://zenodo.org/records/6643646,2020,Choucas,Security,MEIG,,123
Oso to Corine Land cover dataset,OSO-to-CLC,10.5281/zenodo.4459483,https://zenodo.org/records/4459484,2021,MAESTRIA,LULC,STRUDEL,,39
